title,artist,year,date
Architectural Drawing,Adri C Chrichton,NA,NA
Prophet,Ben Zion,NA,NA
Small brown female figure with long wavy hair,NA,NA,NA
Portrait of Seated Woman,William Gillon,NA,NA
Man in Spanish Costume,Alexander S Campbell,NA,NA
Seated Male Nude,Denness Morton,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Man,Claudia Petretti,NA,NA
Unitled,S J Dooley,NA,NA
Putto with a fish,Unknown,NA,NA
Untitled,Sara Gough,NA,NA
NA,Frances Sander,NA,NA
Untitled,R. Euman,NA,NA
Unknown,Unknown,NA,NA
Untitled - Abstract Ocean of Dark Reds and Greens and Blacks,Norman Shaw,NA,NA
View of a Fair,David McClure,NA,NA
Portrait of a Boy,Cecile E. M. Johnstone,NA,NA
Untitled,Roy M. W. Cameron,NA,NA
Portrait of Josephine Baker,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Reclining Female Nude,John Houston,NA,NA
Untitled - Bearded Man at the Table,John C Mark Jones,NA,NA
Two Boxes on Pink,Maureen Marshall,NA,NA
Unknown,James N. Hardie,NA,NA
Jacopo Nani,Brandon Logan,NA,NA
Circus,Cecile E M Johnston,NA,NA
Unknown,Hugh Deans,NA,NA
Unknown,Alistair Fairweather,NA,NA
Saucer,Emma Gillies,NA,NA
Student in the Studio,Leon Francesco Morrocco,NA,NA
Unknown,Andrew P. W. Conkie,NA,NA
Interior Scene,Ian Paterson,NA,NA
Untitled,Carl O Ekevall,NA,NA
Two Men Standing,Charlene Anderson,NA,NA
Male Nude at Wash Bowl,Unknown,NA,NA
Untitled,L. Allan,NA,NA
Standing Male Nude,Margaret Proudfoot,NA,NA
Portrait of a Woman,James H Donaldson,NA,NA
Sedilia from Lincluden Collegiate Church,Joseph Cavagnari,NA,NA
Copper Engraving,Alfred Hackney,NA,NA
Robin,Diana M. Douglas-Hamilton,NA,NA
Unknown,Leslie Johns,NA,NA
Teacup,Emma Gillies,NA,NA
Riders from the West Frieze of the Parthenon,NA,NA,NA
Tangled Leaves,Susan Alexander,NA,NA
Unknown,Hugh Deans,NA,NA
Modesty vest,Unknown,NA,NA
